#Extended Data Table 4. Differentially H3K27ac acetylated loci between 2nd and 3rd trimester CTBs														
	seqnames	start	end	width	strand	Conc	Conc_second.CTB	Conc_third.CTB	Fold	absFC	p.value	FDR	nglogP	nglogFDR
17556	chr3	174878463	174880071	1609	*	8.53	9.12	7.5	1.62	1.62	4.15E-07	2.37E-06	6.381951903	5.625251654
8526	chr15	71388660	71390348	1689	*	8.21	8.8	7.18	1.62	1.62	4.67E-07	2.61E-06	6.330683119	5.583359493
11545	chr19	3093496	3096582	3087	*	9.23	8.21	9.83	-1.62	1.62	5.58E-07	3.01E-06	6.253365801	5.521433504
2315	chr1	212838720	212845759	7040	*	11.56	12.15	10.53	1.62	1.62	5.82E-07	3.11E-06	6.235077015	5.507239611
15421	chr21	37667216	37671447	4232	*	10.24	10.84	9.22	1.62	1.62	5.84E-07	3.11E-06	6.233587153	5.507239611
15156	chr20	55013732	55018744	5013	*	9.71	10.3	8.68	1.62	1.62	5.85E-07	3.12E-06	6.232844134	5.505845406
1964	chr1	179839899	179844013	4115	*	8.78	7.75	9.37	-1.62	1.62	5.88E-07	3.13E-06	6.230622674	5.504455662
2259	chr1	207995182	208001079	5898	*	10.39	9.37	10.99	-1.62	1.62	6.33E-07	3.31E-06	6.19859629	5.480172006
25303	chr9	104159878	104162034	2157	*	9.52	8.49	10.11	-1.62	1.62	6.61E-07	3.42E-06	6.179798541	5.465973894
23942	chr8	59570506	59576676	6171	*	10.35	9.32	10.94	-1.62	1.62	6.67E-07	3.45E-06	6.175874166	5.462180905
14786	chr20	24909123	24913096	3974	*	10.98	9.95	11.57	-1.62	1.62	6.69E-07	3.46E-06	6.174573882	5.460923901
3976	chr11	3885563	3888441	2879	*	8.52	7.49	9.11	-1.62	1.62	6.72E-07	3.47E-06	6.172630727	5.459670525
21058	chr6	52924725	52927168	2444	*	8.61	7.58	9.2	-1.62	1.62	6.87E-07	3.53E-06	6.163043263	5.452225295
22168	chr7	18039737	18041241	1505	*	8.83	7.8	9.43	-1.62	1.62	6.93E-07	3.56E-06	6.159266765	5.448550002
21438	chr6	116421252	116423228	1977	*	9.08	8.05	9.68	-1.62	1.62	7.38E-07	3.75E-06	6.131943638	5.425968732
22777	chr7	97736142	97737337	1196	*	8.63	7.6	9.22	-1.62	1.62	7.40E-07	3.75E-06	6.13076828	5.425968732
16173	chr3	11731206	11734181	2976	*	9.99	8.96	10.58	-1.62	1.62	7.88E-07	3.94E-06	6.103473783	5.404503778
6112	chr12	95466050	95467758	1709	*	8.53	7.51	9.12	-1.62	1.62	8.01E-07	3.99E-06	6.096367484	5.399027104
8424	chr15	65142070	65144811	2742	*	8.64	7.62	9.24	-1.62	1.62	8.03E-07	4.00E-06	6.095284455	5.397940009
12317	chr19	47216755	47221494	4740	*	9.3	8.27	9.89	-1.62	1.62	9.60E-07	4.62E-06	6.017728767	5.335358024
12021	chr19	30254271	30267355	13085	*	11.3	11.9	10.27	1.62	1.62	1.18E-06	5.47E-06	5.928117993	5.262012674
19178	chr5	36627771	36633742	5972	*	9.86	10.46	8.84	1.62	1.62	1.21E-06	5.55E-06	5.91721463	5.255707017
19012	chr5	6756976	6763375	6400	*	10.79	11.39	9.77	1.62	1.62	1.22E-06	5.62E-06	5.913640169	5.250263684
4186	chr11	20015670	20017940	2271	*	8.25	7.22	8.85	-1.62	1.62	1.29E-06	5.87E-06	5.88941029	5.231361899
9987	chr17	17087789	17095589	7801	*	10.06	9.03	10.66	-1.62	1.62	1.57E-06	6.91E-06	5.804100348	5.160521953
14944	chr20	39738449	39740791	2343	*	8.44	9.04	7.42	1.62	1.62	1.58E-06	6.94E-06	5.801342913	5.15864053
12916	chr2	33238601	33240558	1958	*	8.72	7.7	9.31	-1.62	1.62	1.84E-06	7.90E-06	5.735182177	5.102372909
16756	chr3	66270474	66272398	1925	*	8.53	7.5	9.13	-1.62	1.62	2.10E-06	8.76E-06	5.677780705	5.057495894
12778	chr2	24345617	24347676	2060	*	8.54	7.52	9.14	-1.62	1.62	2.11E-06	8.78E-06	5.675717545	5.056505484
20759	chr6	30849723	30854135	4413	*	9.74	8.71	10.34	-1.62	1.62	2.34E-06	9.59E-06	5.630784143	5.018181393
4209	chr11	27223257	27228515	5259	*	10.46	11.05	9.43	1.62	1.62	2.43E-06	9.89E-06	5.614393726	5.004803708
18433	chr4	100152372	100157671	5300	*	9.29	8.27	9.89	-1.62	1.62	2.99E-06	1.17E-05	5.524328812	4.931814138
6403	chr12	121560646	121563509	2864	*	10.34	10.93	9.31	1.62	1.62	3.11E-06	1.21E-05	5.507239611	4.91721463
13067	chr2	46644111	46645476	1366	*	8.41	7.38	9.01	-1.62	1.62	3.26E-06	1.26E-05	5.4867824	4.899629455
25275	chr9	100842651	100850996	8346	*	11.58	12.18	10.56	1.62	1.62	3.44E-06	1.31E-05	5.463441557	4.882728704
12776	chr2	24299766	24301257	1492	*	8.19	7.16	8.78	-1.62	1.62	3.49E-06	1.33E-05	5.457174573	4.876148359
17592	chr3	179370016	179372789	2774	*	9.1	8.07	9.69	-1.62	1.62	3.72E-06	1.40E-05	5.42945706	4.853871964
8385	chr15	63310456	63316886	6431	*	10.03	10.62	9	1.62	1.62	4.07E-06	1.51E-05	5.390405591	4.821023053
1908	chr1	175159024	175163160	4137	*	9.66	8.63	10.26	-1.62	1.62	4.19E-06	1.55E-05	5.377785977	4.809668302
22553	chr7	66391141	66393649	2509	*	8.19	7.16	8.78	-1.62	1.62	4.30E-06	1.58E-05	5.366531544	4.801342913
5963	chr12	70446086	70447748	1663	*	8.11	8.71	7.09	1.62	1.62	4.43E-06	1.62E-05	5.353596274	4.790484985
22588	chr7	73579047	73581886	2840	*	8.93	9.52	7.9	1.62	1.62	4.74E-06	1.71E-05	5.324221658	4.76700389
15226	chr20	61530692	61533358	2667	*	8.13	7.11	8.73	-1.62	1.62	5.49E-06	1.94E-05	5.260427656	4.71219827
15742	chr22	29998968	30000520	1553	*	8.9	7.87	9.49	-1.62	1.62	5.58E-06	1.97E-05	5.253365801	4.705533774
14069	chr2	188977747	188980189	2443	*	8.26	8.85	7.23	1.62	1.62	5.92E-06	2.07E-05	5.227678293	4.684029655
200	chr1	15250399	15254910	4512	*	10.2	10.8	9.18	1.62	1.62	6.01E-06	2.10E-05	5.221125528	4.677780705
1003	chr1	65416204	65418916	2713	*	9.11	9.7	8.09	1.62	1.62	7.27E-06	2.46E-05	5.138465589	4.609064893
12933	chr2	36613767	36617167	3401	*	8.24	7.21	8.83	-1.62	1.62	7.52E-06	2.53E-05	5.123782159	4.596879479
18535	chr4	119987587	119991606	4020	*	8.75	7.73	9.35	-1.62	1.62	8.07E-06	2.69E-05	5.093126465	4.57024772
25409	chr9	114802827	114805834	3008	*	9.01	9.6	7.98	1.62	1.62	8.13E-06	2.71E-05	5.089909454	4.567030709
11142	chr18	29896402	29899175	2774	*	8.96	7.94	9.55	-1.62	1.62	8.24E-06	2.74E-05	5.084072788	4.562249437
12460	chr19	53323677	53325273	1597	*	8.54	7.51	9.13	-1.62	1.62	8.33E-06	2.77E-05	5.079354999	4.557520231
4372	chr11	57416560	57420277	3718	*	9.44	10.03	8.41	1.62	1.62	8.51E-06	2.81E-05	5.07007044	4.55129368
8701	chr15	85817166	85818839	1674	*	8.6	9.19	7.57	1.62	1.62	8.99E-06	2.95E-05	5.046240308	4.530177984
8494	chr15	69103901	69107299	3399	*	7.92	6.9	8.52	-1.62	1.62	9.20E-06	3.01E-05	5.036212173	4.521433504
14262	chr2	211088977	211091973	2997	*	8.44	7.42	9.04	-1.62	1.62	1.31E-05	4.06E-05	4.882728704	4.391473966
25054	chr9	83992185	84001383	9199	*	11.19	11.78	10.16	1.62	1.62	1.43E-05	4.37E-05	4.844663963	4.359518563
3308	chr10	71130359	71133462	3104	*	9.15	9.74	8.13	1.62	1.62	1.54E-05	4.66E-05	4.812479279	4.331614083
14386	chr2	223930807	223933471	2665	*	8.12	8.71	7.09	1.62	1.62	4.53E-05	0.000118	4.343901798	3.928117993
20105	chr5	156998094	157006315	8222	*	9.96	10.55	8.93	1.62	1.62	7.42E-05	0.000183	4.129596095	3.73754891
1284	chr1	100427267	100429446	2180	*	8.28	8.87	7.26	1.62	1.62	7.52E-05	0.000185	4.123782159	3.732828272
20913	chr6	38763057	38765830	2774	*	8.95	9.55	7.93	1.62	1.62	9.34E-05	0.000224	4.029653124	3.649751982
23706	chr8	29627339	29631887	4549	*	9.48	8.45	10.07	-1.62	1.62	0.000101	0.000241	3.995678626	3.617982957
23818	chr8	40616002	40617554	1553	*	8.2	8.8	7.18	1.62	1.62	0.000119	0.000277	3.924453039	3.557520231
8835	chr15	101388875	101390840	1966	*	8.7	9.3	7.68	1.62	1.62	0.000168	0.000378	3.774690718	3.4225082
6480	chr12	124869376	124876942	7567	*	9.66	10.26	8.64	1.62	1.62	0.000188	0.000418	3.725842151	3.378823718
19145	chr5	34713761	34716070	2310	*	8.51	9.1	7.48	1.62	1.62	0.000243	0.000525	3.614393726	3.279840697
14296	chr2	216286298	216292161	5864	*	8.23	8.82	7.21	1.62	1.62	0.000296	0.000626	3.528708289	3.203425667
13757	chr2	145113495	145117473	3979	*	10.25	10.84	9.22	1.62	1.62	0.000404	0.00083	3.393618635	3.080921908
5526	chr12	29316583	29318607	2025	*	8.59	9.18	7.56	1.62	1.62	0.000759	0.00146	3.119758224	2.835647144
16219	chr3	13880213	13884703	4491	*	8.54	9.13	7.52	1.62	1.62	0.00191	0.00337	2.718966633	2.472370099
12611	chr2	5181459	5184014	2556	*	8.85	9.44	7.82	1.62	1.62	0.00285	0.00487	2.54515514	2.312471039
13815	chr2	154997458	155001255	3798	*	8.36	8.95	7.33	1.62	1.62	0.00423	0.00701	2.373659633	2.154281982
2011	chr1	182997817	183000671	2855	*	8.76	9.36	7.73	1.63	1.63	8.45E-08	6.84E-07	7.073143291	6.164943898
14680	chr20	5930287	5932308	2022	*	8.81	7.77	9.41	-1.63	1.63	1.50E-07	1.06E-06	6.823908741	5.974694135
14209	chr2	205316317	205317965	1649	*	8.62	7.59	9.22	-1.63	1.63	1.63E-07	1.14E-06	6.787812396	5.943095149
10960	chr18	6564689	6566777	2089	*	8.4	8.99	7.36	1.63	1.63	2.55E-07	1.61E-06	6.59345982	5.793174124
5991	chr12	76370938	76373173	2236	*	8.5	9.09	7.47	1.63	1.63	2.64E-07	1.65E-06	6.578396073	5.782516056
15690	chr22	24949875	24951185	1311	*	8.41	7.38	9.01	-1.63	1.63	4.11E-07	2.35E-06	6.386158178	5.628932138
11814	chr19	15305760	15307790	2031	*	8.87	7.84	9.47	-1.63	1.63	4.61E-07	2.58E-06	6.336299075	5.588380294
3403	chr10	80996959	81004137	7179	*	10.21	9.18	10.8	-1.63	1.63	4.64E-07	2.59E-06	6.333482019	5.586700236
18942	chr4	186218635	186230168	11534	*	11.8	12.4	10.77	1.63	1.63	4.88E-07	2.69E-06	6.311580178	5.57024772
6132	chr12	96252619	96254015	1397	*	9.23	8.2	9.83	-1.63	1.63	5.52E-07	2.98E-06	6.258060922	5.525783736
19362	chr5	64773357	64779669	6313	*	10.57	9.54	11.17	-1.63	1.63	6.14E-07	3.23E-06	6.211831629	5.490797478
8086	chr15	35278807	35281360	2554	*	9.52	8.48	10.11	-1.63	1.63	6.60E-07	3.42E-06	6.180456064	5.465973894
9349	chr16	58058068	58062104	4037	*	9.13	8.1	9.73	-1.63	1.63	6.67E-07	3.45E-06	6.175874166	5.462180905
23408	chr7	156741790	156744396	2607	*	8.01	6.97	8.61	-1.63	1.63	6.91E-07	3.55E-06	6.160521953	5.449771647
13312	chr2	71258171	71265513	7343	*	11.03	11.62	9.99	1.63	1.63	7.20E-07	3.68E-06	6.142667504	5.434152181
4333	chr11	46721255	46723465	2211	*	8.83	7.8	9.43	-1.63	1.63	7.38E-07	3.75E-06	6.131943638	5.425968732
20225	chr5	173958909	173963513	4605	*	10.11	10.7	9.07	1.63	1.63	7.72E-07	3.87E-06	6.1123827	5.412289035
10510	chr17	57150445	57152758	2314	*	8.85	9.44	7.81	1.63	1.63	8.47E-07	4.17E-06	6.07211659	5.379863945
1700	chr1	155619279	155624860	5582	*	11.22	11.81	10.18	1.63	1.63	8.65E-07	4.25E-06	6.062983893	5.37161107
6458	chr12	123602612	123607304	4693	*	10.44	11.03	9.41	1.63	1.63	8.74E-07	4.28E-06	6.058488567	5.368556231
5369	chr12	12713370	12716972	3603	*	10.81	9.77	11.4	-1.63	1.63	8.97E-07	4.37E-06	6.047207557	5.359518563
10756	chr17	74098939	74100313	1375	*	8.17	7.13	8.76	-1.63	1.63	9.16E-07	4.45E-06	6.038104526	5.351639989
5716	chr12	51610775	51613132	2358	*	9.11	8.08	9.71	-1.63	1.63	1.09E-06	5.11E-06	5.962573502	5.2915791
12960	chr2	37534852	37538415	3564	*	9.09	9.69	8.06	1.63	1.63	1.11E-06	5.19E-06	5.954677021	5.284832642
9534	chr16	75122428	75128911	6484	*	10.56	11.16	9.52	1.63	1.63	1.24E-06	5.69E-06	5.906578315	5.244887734
15719	chr22	29137260	29139169	1910	*	8.79	7.76	9.38	-1.63	1.63	1.25E-06	5.70E-06	5.903089987	5.244125144
21845	chr6	157888623	157891622	3000	*	9.76	8.72	10.35	-1.63	1.63	1.25E-06	5.71E-06	5.903089987	5.243363892
9830	chr17	7231996	7234044	2049	*	8.48	7.45	9.08	-1.63	1.63	1.30E-06	5.92E-06	5.886056648	5.227678293
15099	chr20	49606444	49610240	3797	*	9.33	8.29	9.93	-1.63	1.63	1.32E-06	5.96E-06	5.879426069	5.22475374
22124	chr7	12273762	12275320	1559	*	8.1	8.7	7.07	1.63	1.63	1.61E-06	7.03E-06	5.793174124	5.153044675
20806	chr6	33284916	33286762	1847	*	8.28	7.25	8.87	-1.63	1.63	1.62E-06	7.09E-06	5.790484985	5.149353765
14059	chr2	187452054	187457948	5895	*	10.38	9.34	10.97	-1.63	1.63	1.65E-06	7.21E-06	5.782516056	5.142064735
24753	chr9	21796041	21797972	1932	*	9.12	9.71	8.08	1.63	1.63	1.68E-06	7.28E-06	5.774690718	5.137868621
22980	chr7	112633423	112637315	3893	*	10.25	10.85	9.22	1.63	1.63	1.97E-06	8.31E-06	5.705533774	5.080398976
4943	chr11	102153056	102159233	6178	*	9.71	8.67	10.3	-1.63	1.63	2.08E-06	8.69E-06	5.681936665	5.060980224
4354	chr11	48082553	48086252	3700	*	8.76	7.73	9.36	-1.63	1.63	2.17E-06	8.99E-06	5.663540266	5.046240308
20252	chr5	176853581	176854826	1246	*	8.41	7.38	9	-1.63	1.63	2.50E-06	1.01E-05	5.602059991	4.995678626
22244	chr7	27403492	27405500	2009	*	8.91	7.87	9.5	-1.63	1.63	2.70E-06	1.08E-05	5.568636236	4.966576245
22537	chr7	65825763	65829001	3239	*	9.13	9.72	8.09	1.63	1.63	2.93E-06	1.15E-05	5.53313238	4.93930216
24312	chr8	110636363	110639389	3027	*	8.98	9.57	7.95	1.63	1.63	3.67E-06	1.39E-05	5.435333936	4.8569852
5191	chr11	130346652	130350037	3386	*	7.97	8.57	6.94	1.63	1.63	4.09E-06	1.52E-05	5.388276692	4.818156412
17416	chr3	154782132	154783468	1337	*	8.63	9.22	7.6	1.63	1.63	4.65E-06	1.69E-05	5.332547047	4.772113295
16376	chr3	31872061	31877827	5767	*	9.94	10.53	8.91	1.63	1.63	4.86E-06	1.75E-05	5.313363731	4.756961951
10338	chr17	41561307	41562928	1622	*	8.11	7.08	8.71	-1.63	1.63	5.80E-06	2.03E-05	5.236572006	4.692503962
5365	chr12	12580629	12583655	3027	*	9	7.97	9.59	-1.63	1.63	5.89E-06	2.06E-05	5.229884705	4.68613278
5565	chr12	33079968	33082774	2807	*	8.18	8.77	7.14	1.63	1.63	6.16E-06	2.14E-05	5.210419288	4.669586227
16810	chr3	73467334	73469829	2496	*	8.34	8.93	7.3	1.63	1.63	7.02E-06	2.39E-05	5.153662888	4.621602099
13200	chr2	62953454	62955208	1755	*	8.01	8.61	6.98	1.63	1.63	7.05E-06	2.40E-05	5.151810883	4.619788758
1444	chr1	117442576	117446502	3927	*	8.67	9.27	7.63	1.63	1.63	9.38E-06	3.06E-05	5.027797162	4.514278574
11768	chr19	12893297	12896545	3249	*	8.63	9.22	7.59	1.63	1.63	9.75E-06	3.16E-05	5.010995384	4.500312917
6038	chr12	86079925	86081513	1589	*	8.32	7.28	8.91	-1.63	1.63	1.09E-05	3.47E-05	4.962573502	4.459670525
9377	chr16	66645710	66654115	8406	*	10.96	11.56	9.92	1.63	1.63	1.26E-05	3.91E-05	4.899629455	4.407823243
19017	chr5	7666354	7669424	3071	*	9.41	8.37	10	-1.63	1.63	1.52E-05	4.61E-05	4.818156412	4.336299075
12709	chr2	16813637	16818060	4424	*	8.74	9.34	7.71	1.63	1.63	2.08E-05	6.05E-05	4.681936665	4.218244625
6223	chr12	105811013	105813943	2931	*	9.62	10.21	8.58	1.63	1.63	3.75E-05	0.000101	4.425968732	3.995678626
21428	chr6	113776445	113780317	3873	*	9.17	9.77	8.13	1.63	1.63	4.43E-05	0.000116	4.353596274	3.935542011
18307	chr4	81840721	81843850	3130	*	8.91	9.51	7.87	1.63	1.63	4.76E-05	0.000124	4.322393047	3.906578315
7658	chr14	74847155	74849561	2407	*	9.19	9.78	8.16	1.63	1.63	8.15E-05	0.000199	4.088842391	3.701146924
13489	chr2	99020757	99022493	1737	*	8.11	8.71	7.08	1.63	1.63	8.57E-05	0.000208	4.067019178	3.681936665
12501	chr19	54367955	54372910	4956	*	10.77	11.37	9.74	1.63	1.63	8.86E-05	0.000214	4.052566278	3.669586227
13611	chr2	112894710	112896786	2077	*	8.37	8.96	7.33	1.63	1.63	0.000104	0.000246	3.982966661	3.609064893
6880	chr13	52217392	52220606	3215	*	8.68	9.28	7.65	1.63	1.63	0.000177	0.000396	3.752026734	3.402304814
12121	chr19	37824805	37826407	1603	*	8.78	7.75	9.38	-1.63	1.63	0.000282	6.00E-04	3.549750892	3.22184875
10685	chr17	68201074	68204699	3626	*	9.72	10.31	8.69	1.63	1.63	0.000305	0.000644	3.515700161	3.191114133
3439	chr10	87301192	87304907	3716	*	8.61	7.57	9.21	-1.63	1.63	0.0013	0.00238	2.886056648	2.623423043
5719	chr12	51674209	51682257	8049	*	10.96	9.93	11.56	-1.64	1.64	8.75E-08	7.01E-07	7.057991947	6.154281982
17705	chr3	190085874	190090419	4546	*	10.53	9.49	11.12	-1.64	1.64	9.43E-08	7.43E-07	7.025488307	6.129011186
16292	chr3	23059586	23062839	3254	*	8.22	8.82	7.18	1.64	1.64	1.12E-07	8.49E-07	6.950781977	6.07109231
14587	chr2	241524559	241526792	2234	*	9.15	8.11	9.75	-1.64	1.64	1.35E-07	9.81E-07	6.869666232	6.008330993
13898	chr2	165630028	165638867	8840	*	10.43	11.03	9.39	1.64	1.64	1.39E-07	1.01E-06	6.8569852	5.995678626
4994	chr11	108534934	108537185	2252	*	9.39	8.35	9.99	-1.64	1.64	1.73E-07	1.19E-06	6.761953897	5.924453039
9420	chr16	68117102	68121188	4087	*	9.42	8.38	10.02	-1.64	1.64	2.08E-07	1.37E-06	6.681936665	5.863279433
8551	chr15	73074762	73076943	2182	*	9.59	8.55	10.18	-1.64	1.64	2.43E-07	1.55E-06	6.614393726	5.809668302
16483	chr3	44515548	44519563	4016	*	9.92	10.51	8.87	1.64	1.64	3.23E-07	1.93E-06	6.490797478	5.714442691
22028	chr7	2671596	2674758	3163	*	9.35	9.95	8.31	1.64	1.64	4.04E-07	2.32E-06	6.393618635	5.634512015
12843	chr2	28112721	28114546	1826	*	9.04	8	9.64	-1.64	1.64	4.56E-07	2.55E-06	6.341035157	5.59345982
4754	chr11	75740848	75742831	1984	*	9.04	9.64	8	1.64	1.64	6.23E-07	3.27E-06	6.205511953	5.485452247
14812	chr20	30174701	30185940	11240	*	11.34	11.94	10.3	1.64	1.64	6.99E-07	3.58E-06	6.155522824	5.446116973
13527	chr2	101719960	101722124	2165	*	8.29	8.89	7.24	1.64	1.64	7.23E-07	3.69E-06	6.140861703	5.432973634
17973	chr4	25235065	25237713	2649	*	9.29	8.24	9.88	-1.64	1.64	7.95E-07	3.97E-06	6.099632871	5.401209493
20524	chr6	13773862	13779160	5299	*	10.71	11.31	9.67	1.64	1.64	8.13E-07	4.04E-06	6.089909454	5.393618635
11851	chr19	17184468	17188152	3685	*	9.84	8.8	10.44	-1.64	1.64	8.77E-07	4.29E-06	6.057000407	5.367542708
3518	chr10	96303332	96306355	3024	*	9.29	8.24	9.89	-1.64	1.64	9.81E-07	4.71E-06	6.008330993	5.326979093
23426	chr8	356215	357948	1734	*	8.34	7.3	8.94	-1.64	1.64	1.05E-06	4.97E-06	5.978810701	5.303643611
12254	chr19	44256766	44264341	7576	*	10.74	9.7	11.34	-1.64	1.64	1.05E-06	4.98E-06	5.978810701	5.302770657
5551	chr12	32111719	32113639	1921	*	8.28	7.24	8.88	-1.64	1.64	1.06E-06	5.01E-06	5.974694135	5.300162274
18144	chr4	53884906	53887148	2243	*	9.09	9.69	8.05	1.64	1.64	1.07E-06	5.03E-06	5.970616222	5.298432015
14040	chr2	182755724	182760360	4637	*	10.25	9.21	10.85	-1.64	1.64	1.09E-06	5.14E-06	5.962573502	5.289036881
9440	chr16	69149516	69153005	3490	*	8.93	9.53	7.89	1.64	1.64	1.30E-06	5.88E-06	5.886056648	5.230622674
18138	chr4	53739150	53740078	929	*	8.05	8.64	7	1.64	1.64	1.40E-06	6.29E-06	5.853871964	5.201349355
5223	chr12	2394266	2397650	3385	*	9.03	7.98	9.63	-1.64	1.64	1.51E-06	6.70E-06	5.821023053	5.173925197
22301	chr7	30542930	30545411	2482	*	9.16	8.11	9.76	-1.64	1.64	1.53E-06	6.76E-06	5.815308569	5.170053304
2348	chr1	216773694	216775989	2296	*	9.18	8.13	9.78	-1.64	1.64	1.97E-06	8.33E-06	5.705533774	5.079354999
19579	chr5	93953275	93955147	1873	*	7.97	6.93	8.57	-1.64	1.64	1.99E-06	8.39E-06	5.701146924	5.076238039
2012	chr1	183027073	183030970	3898	*	10.07	10.67	9.03	1.64	1.64	2.00E-06	8.43E-06	5.698970004	5.074172425
21570	chr6	134372998	134374428	1431	*	8.11	7.06	8.7	-1.64	1.64	2.04E-06	8.54E-06	5.690369833	5.068542129
5928	chr12	69169468	69175236	5769	*	9.38	9.98	8.34	1.64	1.64	2.18E-06	9.05E-06	5.661543506	5.043351421
15348	chr21	33258186	33264351	6166	*	8.96	9.56	7.92	1.64	1.64	2.19E-06	9.08E-06	5.659555885	5.041914151
10423	chr17	47906564	47908892	2329	*	8.18	7.14	8.78	-1.64	1.64	2.32E-06	9.49E-06	5.634512015	5.022733788
21061	chr6	52975910	52978888	2979	*	8.32	8.92	7.28	1.64	1.64	2.41E-06	9.82E-06	5.617982957	5.007888512
22563	chr7	69264461	69267769	3309	*	8.87	7.83	9.47	-1.64	1.64	2.48E-06	1.00E-05	5.605548319	5
17095	chr3	124448620	124450657	2038	*	9.22	8.18	9.82	-1.64	1.64	2.93E-06	1.15E-05	5.53313238	4.93930216
4999	chr11	109817205	109818080	876	*	8.15	7.11	8.75	-1.64	1.64	3.25E-06	1.26E-05	5.488116639	4.899629455
15116	chr20	51873918	51880554	6637	*	9.84	10.43	8.8	1.64	1.64	5.68E-06	1.99E-05	5.245651664	4.701146924
21790	chr6	151695063	151697055	1993	*	8.19	7.15	8.79	-1.64	1.64	7.36E-06	2.49E-05	5.133122186	4.603800653
9016	chr16	14424877	14430186	5310	*	10.67	11.27	9.63	1.64	1.64	7.91E-06	2.64E-05	5.101823517	4.578396073
18902	chr4	183464470	183472093	7624	*	9.54	8.5	10.14	-1.64	1.64	8.00E-06	2.67E-05	5.096910013	4.573488739
645	chr1	36900682	36907230	6549	*	9.57	8.53	10.17	-1.64	1.64	8.38E-06	2.78E-05	5.076755981	4.555955204
24480	chr8	133130215	133133453	3239	*	8.43	9.03	7.39	1.64	1.64	9.04E-06	2.97E-05	5.04383157	4.527243551
10364	chr17	43123257	43129022	5766	*	10.28	9.23	10.88	-1.64	1.64	9.79E-06	3.17E-05	5.009217308	4.498940738
7135	chr13	111766550	111770275	3726	*	8.69	9.29	7.65	1.64	1.64	1.04E-05	3.33E-05	4.982966661	4.477555766
25434	chr9	116142545	116146216	3672	*	8.99	7.95	9.59	-1.64	1.64	1.36E-05	4.19E-05	4.866461092	4.377785977
5605	chr12	44240832	44242389	1558	*	8.35	8.94	7.31	1.64	1.64	1.39E-05	4.27E-05	4.8569852	4.369572125
3086	chr10	33199306	33201696	2391	*	7.98	6.94	8.58	-1.64	1.64	1.63E-05	4.91E-05	4.787812396	4.308918508
3845	chr10	126733701	126735460	1760	*	8.18	7.14	8.78	-1.64	1.64	1.65E-05	4.95E-05	4.782516056	4.305394801
12817	chr2	27190064	27194541	4478	*	10.06	10.66	9.01	1.64	1.64	1.65E-05	4.95E-05	4.782516056	4.305394801
23122	chr7	130002119	130004628	2510	*	8.83	7.78	9.43	-1.64	1.64	1.70E-05	5.07E-05	4.769551079	4.294992041
2376	chr1	220355510	220357241	1732	*	8.23	8.83	7.19	1.64	1.64	1.84E-05	5.45E-05	4.735182177	4.263603498
10531	chr17	57582482	57585042	2561	*	9.24	9.83	8.19	1.64	1.64	1.95E-05	5.70E-05	4.709965389	4.244125144
4606	chr11	67328688	67332332	3645	*	10.63	11.23	9.58	1.64	1.64	2.12E-05	6.14E-05	4.673664139	4.211831629
2603	chr1	241865172	241867590	2419	*	8.08	8.68	7.04	1.64	1.64	2.92E-05	8.08E-05	4.534617149	4.092588639
24406	chr8	127384599	127387771	3173	*	8.12	8.72	7.08	1.64	1.64	3.05E-05	8.39E-05	4.515700161	4.076238039
7036	chr13	99491684	99494037	2354	*	8.29	7.25	8.89	-1.64	1.64	3.36E-05	9.10E-05	4.473660723	4.040958608
24690	chr9	12783262	12786071	2810	*	9.88	10.48	8.84	1.64	1.64	4.21E-05	0.000111	4.375717904	3.954677021
18723	chr4	152187059	152189692	2634	*	8.15	8.75	7.11	1.64	1.64	5.12E-05	0.000132	4.290730039	3.879426069
4866	chr11	92485508	92489048	3541	*	9.25	9.84	8.2	1.64	1.64	5.29E-05	0.000136	4.276544328	3.866461092
711	chr1	40434910	40437620	2711	*	8.83	9.43	7.79	1.64	1.64	8.52E-05	0.000207	4.069560405	3.684029655
8827	chr15	99712900	99715953	3054	*	8.38	7.34	8.98	-1.64	1.64	8.96E-05	0.000216	4.04769199	3.665546249
15180	chr20	55898321	55905333	7013	*	10.01	8.96	10.61	-1.65	1.65	1.59E-08	1.90E-07	7.798602876	6.721246399
25085	chr9	88355333	88357676	2344	*	9.74	8.69	10.34	-1.65	1.65	5.56E-08	4.92E-07	7.254925208	6.308034897
7229	chr14	24767660	24770070	2411	*	9.36	8.32	9.96	-1.65	1.65	8.23E-08	6.69E-07	7.084600165	6.174573882
4480	chr11	63466263	63469227	2965	*	8.62	9.22	7.58	1.65	1.65	9.65E-08	7.56E-07	7.015472687	6.121478204
9968	chr17	16119826	16121662	1837	*	7.98	6.93	8.58	-1.65	1.65	1.04E-07	8.05E-07	6.982966661	6.09420412
24647	chr9	4257912	4264496	6585	*	10.57	9.52	11.17	-1.65	1.65	1.29E-07	9.53E-07	6.88941029	6.020907099
25271	chr9	100458434	100460361	1928	*	8.62	7.57	9.22	-1.65	1.65	1.66E-07	1.15E-06	6.779891912	5.93930216
25206	chr9	95526031	95528487	2457	*	9.52	8.47	10.12	-1.65	1.65	1.67E-07	1.16E-06	6.777283529	5.935542011
14510	chr2	234474055	234475957	1903	*	8.95	7.9	9.55	-1.65	1.65	1.82E-07	1.24E-06	6.739928612	5.906578315
